"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000014","Neil","Abercrombie",,"Neil","Abercrombie",,,,,,"1938",,"[{""position"":""Representative"",""congressNumber"":99,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""HI"",""parties"":[""Democrat""],""electionCirca"":false}]"
"A000018","Bella","Abzug","Savitzky","Bella","Abzug","Savitzky",,,,,"1920","1998","[{""position"":""Representative"",""congressNumber"":92,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""NY"",""parties"":[""Democrat""]}]"
"A000022","Gary","Ackerman","Leonard","Gary","Ackerman","Leonard",,,,,"1942",,"[{""position"":""Representative"",""congressNumber"":98,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NY"",""parties"":[""Democrat""]}]"
"A000370","Alma","Adams",,"Alma","Adams",,,,,,"1946",,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""NC"",""parties"":[""Democrat""],""electionDate"":""2014-11-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":116,""stateName"":""NC"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""NC"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""NC"",""parties"":[""Democrat""],""electionCirca"":false}]"
"A000031","Brockman","Adams",,"Brockman","Adams",,"Brock",,,,"1927","2004","[{""position"":""Representative"",""congressNumber"":89,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":91,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":100,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":102,""stateName"":""WA"",""parties"":[""Democrat""]}]"
"A000052","Joseph","Addabbo","Patrick","Joseph","Addabbo","Patrick",,,,,"1925","1986","[{""position"":""Representative"",""congressNumber"":87,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":88,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":89,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":91,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""NY"",""parties"":[""Democrat""]}]"
"A000364","John","Adler","H.","John","Adler","H.",,,,,"1959","2011","[{""position"":""Representative"",""congressNumber"":111,""stateName"":""NJ"",""parties"":[""Democrat""]}]"
"A000371","Peter","Aguilar","Rey","Peter","Aguilar","Rey",,,,,"1979",,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false}]"
"A000069","Daniel","Akaka","Kahikina","Daniel","Akaka","Kahikina",,,,,"1924","2018","[{""position"":""Senator"",""congressNumber"":110,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":98,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":103,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":102,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":97,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""HI"",""parties"":[""Democrat""],""electionCirca"":false}]"
"A000073","Carl","Albert","Bert","Carl","Albert","Bert",,,,,"1908","2000","[{""position"":""Representative"",""congressNumber"":83,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":85,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":88,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":93,""stateName"":""OK"",""parties"":[""Democrat""],""leadershipPositions"":[{""position"":""Speaker Of The House""}]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""OK"",""parties"":[""Democrat""],""leadershipPositions"":[{""position"":""Speaker Of The House""}]},{""position"":""Representative"",""congressNumber"":89,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":84,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":90,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":80,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":92,""stateName"":""OK"",""parties"":[""Democrat""],""leadershipPositions"":[{""position"":""Speaker Of The House""}]},{""position"":""Representative"",""congressNumber"":81,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":86,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":91,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":87,""stateName"":""OK"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":82,""stateName"":""OK"",""parties"":[""Democrat""]}]"
