"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"A000009","James","Abdnor",,"James","Abdnor",,,"Mr.",,,"1923","2012","[{""position"":""Representative"",""congressNumber"":93,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":94,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":97,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":98,""stateName"":""SD"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":99,""stateName"":""SD"",""parties"":[""Republican""]}]"
"A000374","Ralph","Abraham",,"Ralph","Abraham",,,,,,"1954",,"[{""position"":""Representative"",""congressNumber"":115,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""LA"",""parties"":[""Republican""]}]"
"A000366","Sandra","Adams",,"Sandra","Adams",,"Sandy",,,,"1956",,"[{""position"":""Representative"",""congressNumber"":112,""stateName"":""FL"",""parties"":[""Republican""]}]"
"A000055","Robert","Aderholt",,"Robert","Aderholt",,,,,,"1965",,"[{""position"":""Representative"",""congressNumber"":105,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""AL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""AL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""AL"",""parties"":[""Republican""],""electionCirca"":false}]"
"A000358","W.","Akin","Todd","W.","Akin","Todd",,,,,"1947","2021","[{""position"":""Representative"",""congressNumber"":112,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""MO"",""parties"":[""Republican""]}]"
"A000361","Rodney","Alexander",,"Rodney","Alexander",,,,,,"1946",,"[{""position"":""Representative"",""congressNumber"":108,""stateName"":""LA"",""parties"":[""Democrat"",""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""LA"",""parties"":[""Republican""],""electionCirca"":false}]"
"A000109","A.","Allard","Wayne","A.","Allard","Wayne",,,,,"1943",,"[{""position"":""Representative"",""congressNumber"":102,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""CO"",""parties"":[""Republican""]}]"
"A000121","George","Allen",,"George","Allen",,,,,,"1952",,"[{""position"":""Representative"",""congressNumber"":102,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""VA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""VA"",""parties"":[""Republican""]}]"
"A000372","Rick","Allen","W.","Rick","Allen","W.",,,,,"1951",,"[{""position"":""Representative"",""congressNumber"":114,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":115,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":117,""stateName"":""GA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":118,""stateName"":""GA"",""parties"":[""Republican""],""electionCirca"":false}]"
"A000367","Justin","Amash",,"Justin","Amash",,,,,,"1980",,"[{""position"":""Representative"",""congressNumber"":112,""stateName"":""MI"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""MI"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":114,""stateName"":""MI"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":116,""stateName"":""MI"",""parties"":[""Republican"",""Independent"",""Libertarian""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":115,""stateName"":""MI"",""parties"":[""Republican""]}]"
