,id,givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,position,congressNumber,stateName,parties,electionCirca,electionDate,leadershipPositions,electionYear,ageDuringElection
0,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,99,HI,['Democrat'],,,,1984,46
1,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,102,HI,['Democrat'],,,,1990,52
2,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,103,HI,['Democrat'],,,,1992,54
3,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,104,HI,['Democrat'],,,,1994,56
4,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,105,HI,['Democrat'],,,,1996,58
5,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,106,HI,['Democrat'],,,,1998,60
6,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,107,HI,['Democrat'],,,,2000,62
7,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,108,HI,['Democrat'],,,,2002,64
8,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,109,HI,['Democrat'],,,,2004,66
9,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,110,HI,['Democrat'],,,,2006,68
10,A000014,Neil,Abercrombie,,Neil,Abercrombie,,,,,,1938,,Representative,111,HI,['Democrat'],False,,,2008,70
11,A000018,Bella,Abzug,Savitzky,Bella,Abzug,Savitzky,,,,,1920,1998.0,Representative,92,NY,['Democrat'],,,,1970,50
12,A000018,Bella,Abzug,Savitzky,Bella,Abzug,Savitzky,,,,,1920,1998.0,Representative,93,NY,['Democrat'],,,,1972,52
13,A000018,Bella,Abzug,Savitzky,Bella,Abzug,Savitzky,,,,,1920,1998.0,Representative,94,NY,['Democrat'],,,,1974,54
14,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,98,NY,['Democrat'],,,,1982,40
15,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,99,NY,['Democrat'],,,,1984,42
16,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,100,NY,['Democrat'],,,,1986,44
17,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,101,NY,['Democrat'],,,,1988,46
18,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,102,NY,['Democrat'],,,,1990,48
19,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,103,NY,['Democrat'],,,,1992,50
20,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,104,NY,['Democrat'],,,,1994,52
21,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,105,NY,['Democrat'],,,,1996,54
22,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,106,NY,['Democrat'],,,,1998,56
23,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,107,NY,['Democrat'],,,,2000,58
24,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,108,NY,['Democrat'],,,,2002,60
25,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,109,NY,['Democrat'],,,,2004,62
26,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,110,NY,['Democrat'],,,,2006,64
27,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,111,NY,['Democrat'],,,,2008,66
28,A000022,Gary,Ackerman,Leonard,Gary,Ackerman,Leonard,,,,,1942,,Representative,112,NY,['Democrat'],,,,2010,68
29,A000370,Alma,Adams,,Alma,Adams,,,,,,1946,,Representative,115,NC,['Democrat'],,,,2016,70
30,A000370,Alma,Adams,,Alma,Adams,,,,,,1946,,Representative,114,NC,['Democrat'],,,,2014,68
31,A000370,Alma,Adams,,Alma,Adams,,,,,,1946,,Representative,113,NC,['Democrat'],False,2014-11-04,,2012,66
