"candidate_name","win_count","avg_percentage"
"""BUDDY"" ROEMER",1,1
"""CHARLIE"" MELANCON",1,0.502481400399466
"""DICK"" SWETT",1,0.526250676563829
"""JERRY"" HUCKABY",2,1
"A DONALD MCEACHIN",4,0.617129067687243
"ABBY FINKENAUER",1,0.509635205524125
"ABIGAIL A SPANBERGER",1,0.503366180392964
"ABIGAIL DAVIS SPANBERGER",2,0.51513598642715
"ABNER J MIKVA",2,0.501137195061911
"ABRAHA ""CHICK"" KAZEN JR",1,1
"ABRAHAM ""CHICK"" KAZEN JR",2,0.625496464183737
"ABRAHAM KAZEN JR",1,0.897113154051035
"ADAM B SCHIFF",12,0.715873966698659
"ADAM BENJAMIN JR",3,0.745242096124607
"ADAM SMITH",14,0.675290441243958
"ADRIAN DELEON",2,1.09710569619609
"ADRIANO ESPAILLAT",4,0.821524441254637
"ADRIENNE NICOLE EDWARDS",2,1
"AJA L BROWN",1,1
"AL GORE JR",1,0.999894337447769
"AL GREEN",10,0.832737917066907
"AL LAWSON",2,0.655077608827471
"AL LAWSON JR",1,0.651277698806729
"AL SWIFT",7,0.652708105586847
"AL ULLMAN",2,0.705577173839068
"ALAN B MOLLOHAN",14,0.802672972046779
"ALAN GRAYSON",3,0.56167939685109
"ALAN LOWENTHAL",2,0.607073608244322
"ALAN S LOWENTHAL",3,0.609942633446604
"ALAN WHEAT",6,0.643843565572369
"ALBERT G BUSTAMANTE",3,0.728994911832239
"ALBERT G BUSTAMENTE",1,1
"ALBERT GORE JR",3,0.911013837253472
"ALBERT RUSSELL WYNN",8,0.803980789766946
"ALBIO SIRES",8,0.764393719645949
"ALCEE L HASTINGS",15,0.850187260989225
"ALEXANDRIA OCASIO-CORTEZ",3,0.689353388346604
"ALLAN BYRON SWIFT",1,0.513925174474031
"ALLEN BOYD",7,0.738816083443096
"ALLEN E ERTEL",3,0.569786434135614
"ALLYSON SCHWARTZ",1,0.557447650945723
"ALLYSON Y SCHWARTZ",4,0.63587278048544
"ALMA ADAMS",2,0.742095772123709
"ALMA S ADAMS",3,0.765901182049804
"ALVIN BALDUS",1,0.627890908142779
"ALVIN J BALDUS",1,0.581180973712032
"AMI BERA",6,0.534773725948064
"ANALILIA JOYA",1,1
"ANDRE CARSON",6,0.606612169531377
"ANDRÉ CARSON",1,0.669648361685124
"ANDRE D CARSON",1,0.648628651261972
"ANDREA SALINAS",1,0.499889597353054
"ANDREW JACOBS JR",10,0.602750072140719
"ANDREW MAGUIRE",2,0.545464014117295
"ANDREW YOUNG",1,0.666763846372767
"ANDY IRELAND",4,0.818186036382251
"ANDY KIM",3,0.52900657395069
"ANDY LEVIN",2,0.586886504865787
"ANGELICA MARIA DUENAS",1,1
"ANGIE CRAIG",2,0.495278498863465
"ANN KIRKPATRICK",5,0.534241668307416
"ANN M KUSTER",4,0.53580531197352
"ANN MCLANE KUSTER",1,0.501713130642513
"ANNA G ESHOO",16,0.720431285869734
"ANNE MCLANE KUSTER",1,0.555435190647289
"ANTHONY C BEILENSON",10,0.605995409040579
"ANTHONY D WEINER",6,0.541362216257779
"ANTHONY G BROWN",3,0.772330526313196
"ANTHONY J BRINDISI",1,0.461765361527316
"ANTHONY TOBY MOFFETT",3,0.599199961019601
"ANTHONY WEINER",1,0.497960754705808
"ANTONIO DELGADO",2,0.462537800036529
"ARTUR DAVIS",4,0.912698620142352
"AUGUSTUS F ""GUS"" HAWKINS",6,0.842257681112476
"AUGUSTUS G HAWKINS",1,0.849959596486198
"AUSTIN J MURPHY",9,0.71167658860132
"AYANNA PRESSLEY",2,0.808911555799627
"AYANNA S PRESSLEY",1,0.982523558261611
"B F SISK",1,0.722038385175381
"BAO NGUYEN",1,1
"BARBARA-ROSE COLLINS",3,0.815795910717153
"BARBARA A MIKULSKI",5,0.786273181654023
"BARBARA B KENNELLY",5,0.618370354776623
"BARBARA BAILEY KENNELLY",3,0.6801498261079
"BARBARA BOXER",5,0.671216209248487
"BARBARA JORDAN",1,0.855082092540682
"BARBARA LEE",13,0.865913667090926
"BARNEY FRANK",16,0.719475583151361
"BARON HILL",1,0.50756103419662
"BARON P HILL",4,0.532813074246252
"BART GORDON",13,0.640622726634308
"BART STUPAK",9,0.629136647517784
"BECCA BALINT",1,0.604524669897758
"BEN CHANDLER",4,0.647012203719178
"BEN ERDREICH",5,0.689695885384786
"BEN JONES",2,0.563607050169921
"BEN MCADAMS",1,0.501219960560179
"BEN NIGHTHORSE CAMPBELL",2,0.741268249693628
