"candidate_name","win_count","avg_percentage"
"""BILL"" ZELIFF",1,0.550549983824005
"""BOBBY"" JINDAL",1,0.811689597321264
"""ED"" TARPLEY",1,0.758146181989922
"""GREG"" ELLISON",1,0.781116897922767
"""JEFF"" LANDRY",1,0.637669200653101
"""JOSH"" GUILLORY",1,0.684154458553405
"""MATT"" HASTY",1,0.77115998988715
"""MIKE"" JOHNSON",2,0.724065751055589
"""TREY"" THOMAS",1,0.703539929345606
"A DREW FERGUSON IV",2,0.668977267386459
"AARON BEAN",1,0.604502686946148
"AARON SCHOCK",4,0.692210539924004
"ADAM H PUTNAM",5,0.696969018604449
"ADAM KINZINGER",6,0.689287884879144
"ADRIAN SMITH",9,0.761208485857203
"AL MCCANDLESS",4,0.626457535371632
"ALAN FINE",1,0.213401114717952
"ALAN NUNELEE",1,0.552614643096767
"ALAN NUNNELEE",2,0.641585979035206
"ALBERT H QUIC",1,0.682465170662674
"ALBERT LEE SMITH JR",1,0.505468608696577
"ALETA EDIN",1,0.280921069291219
"ALEX X MOONEY",2,0.505189536311278
"ALEXANDER X MOONEY",3,0.62265221616713
"ALFRED A ""AL"" MCCANDLESS",2,0.519801522702576
"ALLEN WEST",1,0.543636313753464
"AMO HOUGHTON",8,0.59271090502877
"AMORY HOUGHTON JR",1,0.56110511789512
"ANDER CRENSHAW",8,0.790869595193305
"ANDREA H SEASTRAND",1,0.492741904616091
"ANDREW CLYDE",1,0.785806891479464
"ANDREW R GARBARINO",2,0.475849400672965
"ANDREW S CLYDE",1,0.723537931175163
"ANDY BARR",5,0.584221317735602
"ANDY BIGGS",4,0.597850850210409
"ANDY HARRIS",7,0.618245540207
"ANDY IRELAND",4,0.766393759357856
"ANDY OGLES",1,0.558391142243814
"ANH ""JOSEPH"" CAO",1,0.495379922849197
"ANN WAGNER",6,0.567834496595973
"ANNA PAULINA LUNA",1,0.531369127438178
"ANNE M NORTHUP",5,0.533033201182369
"ANTHONY GONZALEZ",2,0.599612955374891
"ARLAN STANGELAND",7,0.516812006339823
"ARLEN ERDAHL",2,0.639822288220396
"ARTHUR ""ART"" MOORE",1,1
"ARTHUR RAVENEL JR",4,0.618367090106197
"ASA HUTCHINSON",3,0.788136596142911
"ASHLEY HINSON",2,0.517892655707368
"AUGUST PFLUGER",2,0.898542702717524
"AUSTIN SCOTT",7,0.790479111595202
"B MARK WALKER",1,0.565160360106907
"BARB DAVIS WHITE",1,0.220048520977732
"BARBARA COMSTOCK",1,0.526868174853718
"BARBARA CUBIN",7,0.566277576882084
"BARBARA F VUCANOVICH",6,0.595619901717197
"BARBARA J COMSTOCK",1,0.564864743618501
"BARBARA VUCANOVICH",1,0.554863394889957
"BARBER B CONABLE",1,0.693534305484404
"BARBER B CONABLE JR",3,0.682183570133249
"BARRY D LOUDERMILK",1,1
"BARRY GOLDWATER JR",2,0.730366350456623
"BARRY LOUDERMILK",4,0.630555679175041
"BARRY M GOLDWATER",1,0.663807705888675
"BARRY MOORE",2,0.671558252349957
"BEAU BOULTER",2,0.589698890767229
"BEN CLINE",2,0.644876376684227
"BEN GIBSON",1,0.667392963617742
"BEN L CLINE",1,0.596910906008664
"BEN QUAYLE",1,0.5223649619601
"BENJAMIN A GILMAN",13,0.608660786779827
"BERNIE OMANN",1,0.486358013867101
"BETH VAN DUYNE",2,0.542784563740543
"BIL MCCOLLUM",1,0.557612729430529
"BILL ARCHER",11,0.891012141511388
"BILL ARHER",1,1
"BILL BAKER",2,0.556307782275873
"BILL BARRETT",5,0.726519118451407
"BILL CASSIDY",2,0.725203728515211
"BILL CLINGER",4,0.614673620374463
"BILL DICKINSON",5,0.664434645187585
"BILL EMERSON",8,0.592668137013253
"BILL FLORES",5,0.647861116326059
"BILL FRENZEL",7,0.701594154315571
"BILL GOODLING",4,0.73825740090917
"BILL GREEN",6,0.52502548249458
"BILL HUIZENGA",7,0.602224234766736
"BILL JOHNSON",7,0.633907783131623
"BILL LOWERY",6,0.612698656600549
"BILL MCCOLLUM",9,0.800152995050989
"BILL PAXON",4,0.471243393777841
"BILL POSEY",8,0.615516405621461
"BILL SALI",1,0.499379240776984
"BILL SCHUETTE",3,0.579819810863748
"BILL SHUSTER",8,0.657950239276342
"BILLY BURKETTE",1,1
"BILLY LONG",6,0.655603460899395
"BLAINE LUETKEMEYER",8,0.658299172056649
"BLAKE D MOORE",1,0.669747015989791
"BLAKE DAVID MOORE",1,0.695157893506956
"BLAKE FARENTHOLD",3,0.606806204201017
"BOB BARR",4,0.550906391928652
"BOB BEAUPREZ",2,0.510138821054074
"BOB C WILSON",1,0.576539794246421
"BOB DAVIS",4,0.61909777971004
"BOB DUTTON",1,1
"BOB FRANKS",4,0.551914257006792
"BOB GIBBS",6,0.667552619337136
"BOB GOOD",1,0.57568796906982
"BOB GOODLATTE",13,0.775732785702981
"BOB INGLIS",6,0.648067457260882
"BOB LATTA",1,0.622561412045117
"BOB LEMEN",2,0.285152442867153
"BOB LIVINGSTON",6,1
"BOB MCEWAN",1,0.740040822766088
"BOB MCEWEN",5,0.65920780197305
"BOB RILEY",3,0.6512941024583
"BOB SCHAFFER",3,0.649914469491319
"BOB SMITH",1,0.603299695659138
"BOB STUMP",10,0.691586768948219
"BOB WHITTAKER",5,0.713208178759631
"BOB WILSON",1,0.581374004589013
"BOBBI FIEDLER",3,0.642723843715451
"BOBBY JINDAL",1,0.881048822639879
"BOBBY SCHILLING",1,0.525812225361743
"BRAD FINSTAD",1,0.538265435158676
"BRAD R WENSTRUP",4,0.666379101656849
"BRAD WENSTRUP",2,0.580942451026042
"BRADLEY BYRNE",3,0.758985721292548
"BRETT GUTHRIE",6,0.740321296009658
"BRIAN BABIN",5,0.760400318616468
"BRIAN D KERNS",1,0.648028998640689
