,year,state,previous_winner_age,incumbent,incumbency_count,avg_dem_margin_4,avg_total_votes_4,party_flips_4,dem_margin
318,1978,AL,51.0,Republican,1,-0.152094245860435,156357.0,0,-0.0800167808698084
4707,2010,AL,56.0,Democrat,0,-0.0629138211705863,180365.0,1,-0.0218754290421491
5054,2012,AL,34.0,Republican,1,-0.030359116966014822,195903.25,2,-0.273188735313713
5392,2014,AL,36.0,Republican,2,-0.07865210557699098,240007.75,2,-0.348109300038738
5689,2016,AL,38.0,Republican,3,-0.1592338392190281,239233.5,1,-0.0923048891588217
6000,2018,AL,40.0,Republican,4,-0.18386958838835546,229240.75,0,-0.230051813471503
3021,1998,AL,31.0,Republican,1,0.3862223301020916,193580.5,1,-0.128645905225045
3278,2000,AL,33.0,Republican,2,0.20214858196462837,196665.75,1,-0.236779456647041
4102,2006,AL,39.0,Republican,1,-0.21983326341243764,218037.5,0,-0.405225684380913
4399,2008,AL,41.0,Republican,2,-0.3168189474451235,213256.25,0,-0.497165338751531
6315,2020,AL,53.0,Republican,1,-0.4951828304408378,236302.0,0,-0.646074451681928
6609,2022,AL,55.0,Republican,2,-0.5553950222660915,270033.0,0,-0.720991486759795
1672,1988,AL,49.0,Democrat,1,0.6046891867026585,146167.0,0,0.301414156732545
2438,1994,AL,45.0,Democrat,1,0.46394309600254047,178744.5,0,0.0100788083090379
2715,1996,AL,47.0,Democrat,2,0.30864045924921524,189298.5,0,0.137769735893701
3022,1998,AL,49.0,Democrat,3,0.19856063870189597,199857.25,0,0.394523027591735
3830,2004,AL,55.0,Democrat,1,0.25951514334730097,190348.75,0,0.461045852353677
4708,2010,AL,66.0,None,0,0.3468202222876131,241348.0,0,-0.158713394991626
5056,2012,AL,56.0,Republican,1,0.2085111166417728,249584.5,1,-0.300432709988074
6002,2018,AL,62.0,Republican,1,-0.1897523412789237,282694.25,1,-0.221442804980591
319,1978,AL,48.0,Republican,0,-0.140739456460492,161497.0,0,-0.234138873496069
619,1980,AL,50.0,None,0,-0.1874391649782805,133984.0,0,-0.0409903864588754
900,1982,AL,49.0,Republican,0,-0.13862290547181214,150174.33333333334,0,0.0686048981821493
1162,1984,AL,44.0,Democrat,1,-0.08681595455832178,153819.5,1,0.198711348462176
1425,1986,AL,46.0,Democrat,2,-0.0019532533276547803,168076.0,1,0.457803395777207
1673,1988,AL,48.0,Democrat,3,0.17103231399066424,189341.25,1,0.33764708147977
2716,1996,AL,47.0,Republican,1,0.10316772020881379,203460.0,1,-0.444093412628358
3023,1998,AL,49.0,Republican,2,-0.05753347006381973,211422.5,1,-0.43684371779517
5393,2014,AL,65.0,None,0,-0.472096975871558,242349.25,0,-0.525449404160776
5691,2016,AL,60.0,Republican,1,-0.4580865906907775,237889.0,0,-0.491164724547295
6003,2018,AL,62.0,Republican,2,-0.46985441867051175,257551.25,0,-0.384268079630176
620,1980,AL,44.0,Democrat,1,0.953733837628639,79583.0,0,0.477521483491633
1674,1988,AL,46.0,Democrat,1,0.5422194608097902,142103.66666666666,0,0.364519719623357
1925,1990,AL,48.0,Democrat,2,0.49779452551318193,156439.25,0,0.410693341005156
2169,1992,AL,50.0,None,0,0.36203440135731124,181730.5,0,0.599946786692239
2440,1994,AL,50.0,Democrat,1,0.3926407271574628,185375.75,0,0.538777456877136
2717,1996,AL,52.0,Democrat,2,0.478484326049472,177891.0,0,0.447627825184196
5058,2012,AL,45.0,Democrat,1,0.48083851968718927,204045.75,0,0.517977509751759
5066,2012,AR,44.0,Republican,1,-0.0872174049950143,171491.0,0,-0.179264319183011
5400,2014,AR,46.0,Republican,0,-0.13324086208901265,203446.0,0,-0.322780696239624
324,1978,AR,33.0,None,0,0.727695272644825,167599.0,0,-0.0246811850107907
